Voyage,Book Year,Weight,Cargo,Deaprture,D_Country,Arrival,A_Country
13945,1700,55.00,peper,Batavia,Indonesia,Timor,Indonesia
14198,1700,7.00,peper,Amboina,Indonesia,Banda-Neira,Indonesia
14666,1701,25.00,peper,Batavia,Indonesia,Cheribon,Indonesia
15097,1701,1.00,peper,Amboina,Indonesia,Banda-Neira,Indonesia
15835,1706,6.00,peper,Batavia,Indonesia,Cheribon,Indonesia
16665,1706,10.00,peper,Batavia,Indonesia,Banda-Neira,Indonesia
16679,1708,50.00,peper,Batavia,Indonesia,Ternate,Indonesia
16790,1708,12.00,peper,Batavia,Indonesia,Mokka,Yemen
16412,1710,100.00,peper,Batavia,Indonesia,Kaap de Goede Hoop,South Africa
14345,1714,50.00,peper,Bengalen,India,Batavia,Indonesia
15311,1714,50.00,peper,Batavia,Indonesia,Ceylon,Sri Lanka
15502,1714,5.00,peper,Batavia,Indonesia,Gamron,Indonesia
15697,1714,10.00,peper,Batavia,Indonesia,Banda-Neira,Indonesia
15701,1714,100.00,peper,Batavia,Indonesia,Timor,Indonesia
15836,1714,100.00,peper,Batavia,Indonesia,Kaap de Goede Hoop,South Africa
16304,1717,12.00,peper,Cheribon,Indonesia,Batavia,Indonesia
16658,1717,30.00,peper,Batavia,Indonesia,Surat,India
16662,1719,30.00,peper,Batavia,Indonesia,Perzië,Iran
16663,1719,12.00,peper,Batavia,Indonesia,Mokka,Yemen
18108,1721,10.00,peper,Batavia,Indonesia,Ternate,Indonesia
18117,1721,12.00,peper,Batavia,Indonesia,Semarang,Indonesia
13962,1723,30.00,peper,Batavia,Indonesia,Bengalen,India
13978,1723,12.00,peper,Batavia,Indonesia,Mokka,Yemen
14147,1723,10.00,peper,Batavia,Indonesia,Banda-Neira,Indonesia
14331,1723,10.00,peper,Batavia,Indonesia,Makassar,Indonesia
18112,1726,10.00,peper,Batavia,Indonesia,Amboina,Indonesia
18539,1728,100.00,peper,Batavia,Indonesia,Timor,Indonesia
18542,1728,12.00,peper,Batavia,Indonesia,Mokka,Yemen
18614,1728,3.00,peper,Amboina,Indonesia,Ternate,Indonesia
18640,1728,1.00,peper,Ternate,Indonesia,Amboina,Indonesia
13207,1731,80.00,peper,Kaap de Goede Hoop,South Africa,Batavia,Indonesia
12913,1737,10.00,peper,Kaap de Goede Hoop,South Africa,Amsterdam,Netherlands
9228,1753,100.00,peper,Batavia,Indonesia,Rotterdam,Netherlands
7298,1758,25.00,peper,Timor,Indonesia,Batavia,Indonesia
5800,1761,100.00,peper,Batavia,Indonesia,Enkhuizen,Netherlands
4584,1765,85.00,peper,Batavia,Indonesia,Delft,Netherlands
2720,1775,50.00,peper,Kaap de Goede Hoop,South Africa,Ceylon,Sri Lanka
2930,1776,100.00,peper,Batavia,Indonesia,Malakka,Indonesia
14082,1700,80.00,kaneel,Surat,India,Tuticorin,India
